Date,Origin,Destination,Duration
2018-11-17T12:00:00,gemeentemuseume,de uithof,3720
2018-11-17T12:00:00,gemeentemuseume,haagsemarkt,2580
2018-11-17T12:00:00,gemeentemuseume,mauritshuis,1560
2018-11-17T12:00:00,gemeentemuseume,familiepark drievliet,3300
2018-11-17T12:00:00,gemeentemuseume,huistenbosch,2040
2018-11-17T12:00:00,gemeentemuseume,Museum Voorlinden,-1
2018-11-17T12:00:00,kijkduin,centraal,2520
2018-11-17T12:00:00,kijkduin,maduradam,3480
2018-11-17T12:00:00,kijkduin,gemeentemuseume,2100
2018-11-17T12:00:00,kijkduin,de uithof,3120
2018-11-17T12:00:00,kijkduin,haagsemarkt,3060
2018-11-17T12:00:00,kijkduin,mauritshuis,2640
2018-11-17T12:00:00,kijkduin,familiepark drievliet,4140
2018-11-17T12:00:00,kijkduin,huistenbosch,2820
2018-11-17T12:00:00,kijkduin,Museum Voorlinden,-1
2018-11-17T12:00:00,de uithof,centraal,2280
2018-11-17T12:00:00,de uithof,maduradam,2940
2018-11-17T12:00:00,de uithof,gemeentemuseume,3720
2018-11-17T12:00:00,de uithof,kijkduin,2580
2018-11-17T12:00:00,de uithof,haagsemarkt,2340
2018-11-17T12:00:00,de uithof,mauritshuis,2400
2018-11-17T12:00:00,de uithof,familiepark drievliet,4020
2018-11-17T12:00:00,de uithof,huistenbosch,2700
2018-11-17T12:00:00,de uithof,Museum Voorlinden,-1
2018-11-17T12:00:00,haagsemarkt,centraal,1260
2018-11-17T12:00:00,haagsemarkt,maduradam,2220
2018-11-17T12:00:00,haagsemarkt,gemeentemuseume,3000
2018-11-17T12:00:00,haagsemarkt,kijkduin,2580
2018-11-17T12:00:00,haagsemarkt,de uithof,2220
2018-11-17T12:00:00,haagsemarkt,mauritshuis,1380
2018-11-17T12:00:00,haagsemarkt,familiepark drievliet,2520
2018-11-17T12:00:00,haagsemarkt,huistenbosch,1260
2018-11-17T12:00:00,haagsemarkt,Museum Voorlinden,-1
2018-11-17T12:00:00,mauritshuis,centraal,960
2018-11-17T12:00:00,mauritshuis,maduradam,1140
